Territorialidade,Posição IDHM no Brasil,IDHM,Posição IDHM Renda,IDHM Renda,Posição IDHM Educação,IDHM Educação,Posição IDHM Longevidade,IDHM Longevidade,
Vera Cruz (RS),850,0.737,639,0.738,1133,0.643,1075,0.842,
Palmeira das Missões (RS),850,0.737,989,0.722,758,0.667,1603,0.831,
Floresta (PR),876,0.738,1372,0.707,465,0.691,2357,0.816,
Atalaia (PR),876,0.740,1372,0.707,870,0.660,581,0.854,
Nova Itaberaba (SC),876,0.745,360,0.753,1857,0.605,118,0.876,
Grão Pará (SC),876,0.742,435,0.749,1395,0.630,901,0.846,
Navegantes (SC),876,0.743,805,0.731,1517,0.624,147,0.873,
Ipira (SC),876,0.740,937,0.724,914,0.657,1281,0.838,
São Borja (RS),876,0.736,1039,0.72,1133,0.643,425,0.86,
Gravataí (RS),876,0.736,870,0.727,1271,0.636,372,0.862,
Camargo (RS),876,0.736,266,0.762,1727,0.612,581,0.854,
Marialva (PR),897,0.738,765,0.733,768,0.666,2453,0.814,
Porto Rico (PR),897,0.739,1858,0.691,581,0.680,901,0.846,
Caçador (SC),897,0.742,848,0.728,1593,0.620,98,0.878,
Lauro Muller (SC),897,0.738,1190,0.714,620,0.677,2064,0.822,
Nova Esperança do Sul (RS),897,0.735,961,0.723,1068,0.647,792,0.848,
Xangri-Lá (RS),897,0.735,596,0.74,1395,0.63,643,0.852,
Telêmaco Borba (PR),920,0.737,897,0.726,914,0.657,1747,0.828,
Cambé (PR),920,0.738,937,0.724,1010,0.651,1183,0.840,
São Pedro de Alcântara (SC),920,0.740,316,0.757,1633,0.618,901,0.846,
Alto Feliz (RS),920,0.734,596,0.74,1904,0.603,22,0.886,
Barra do Guarita (RS),920,0.734,1707,0.696,697,0.672,943,0.845,
Renascença (PR),940,0.738,494,0.746,1395,0.630,1281,0.838,
Nova Aurora (PR),940,0.737,897,0.726,1157,0.642,986,0.844,
Colombo (PR),940,0.739,1166,0.715,1350,0.632,204,0.870,
Aurora (SC),940,0.741,462,0.748,1835,0.606,204,0.870,
Arabutã (SC),940,0.740,532,0.744,1703,0.614,343,0.863,
Atalanta (SC),940,0.735,692,0.736,738,0.668,3026,0.802,
União da Serra (RS),940,0.733,97,0.786,2210,0.587,643,0.852,
Gentil (RS),940,0.733,1293,0.71,1133,0.643,343,0.863,
Taquari (RS),940,0.733,665,0.737,1416,0.629,759,0.849,
Triunfo (RS),940,0.733,1111,0.717,1416,0.629,147,0.873,
Protásio Alves (RS),940,0.733,187,0.771,1782,0.609,1238,0.839,
Céu Azul (PR),965,0.734,784,0.732,883,0.659,2562,0.812,
Flórida (PR),965,0.734,1372,0.707,593,0.679,2357,0.816,
Jaborá (SC),965,0.735,494,0.746,914,0.657,3077,0.801,
São Jorge (RS),965,0.732,415,0.75,1649,0.617,901,0.846,
Santo Expedito do Sul (RS),965,0.732,2182,0.679,620,0.677,610,0.853,
Chiapetta (RS),965,0.732,1516,0.702,914,0.657,722,0.85,
Rodeio Bonito (RS),965,0.732,765,0.733,1271,0.636,1075,0.842,
Nova Santa Rosa (PR),993,0.734,784,0.732,870,0.660,2696,0.809,
Guarapuava (PR),993,0.737,817,0.730,1433,0.628,610,0.853,
Goioerê (PR),993,0.736,1039,0.720,1209,0.639,722,0.850,
Itapejara D'Oeste (PR),993,0.734,1217,0.713,849,0.661,1747,0.828,
Tamboara (PR),993,0.735,2182,0.679,668,0.674,643,0.852,
São José do Cedro (SC),993,0.736,360,0.753,1492,0.625,1647,0.830,
São Bonifácio (SC),993,0.737,832,0.729,1556,0.622,425,0.860,
Fraiburgo (SC),993,0.736,1248,0.712,1248,0.637,425,0.860,
Boa Vista do Incra (RS),993,0.731,1473,0.703,1176,0.641,257,0.867,
Relvado (RS),993,0.731,232,0.765,2185,0.588,238,0.868,
Soledade (RS),993,0.731,870,0.727,1492,0.625,390,0.861,
Colorado (PR),1021,0.733,478,0.747,1032,0.649,2940,0.804,
Tupãssi (PR),1021,0.733,1008,0.721,1032,0.649,1647,0.830,
Ivaiporã (PR),1021,0.733,1268,0.711,849,0.661,1798,0.827,
Engenheiro Beltrão (PR),1021,0.733,1547,0.701,620,0.677,2161,0.820,
Guarujá do Sul (SC),1021,0.735,784,0.732,1209,0.639,1515,0.833,
Quilombo (SC),1021,0.733,1248,0.712,930,0.656,1560,0.832,
Ilópolis (RS),1021,0.73,321,0.756,2045,0.595,276,0.866,
Guaíba (RS),1021,0.73,784,0.732,1209,0.639,1515,0.833,
Mariano Moro (RS),1021,0.73,252,0.763,1880,0.604,1032,0.843,
Assis Chateaubriand (PR),1052,0.734,1217,0.713,1329,0.633,501,0.857,
Rio Bom (PR),1052,0.734,2375,0.672,573,0.681,792,0.848,
Rio do Campo (SC),1052,0.731,580,0.741,1020,0.650,2990,0.803,
Rio dos Cedros (SC),1052,0.733,621,0.739,1308,0.634,1798,0.827,
Treze de Maio (SC),1052,0.737,832,0.729,1921,0.602,77,0.881,
Cidreira (RS),1052,0.729,817,0.73,1492,0.625,792,0.848,
Roca Sales (RS),1052,0.729,360,0.753,1921,0.602,610,0.853,
Assaí (PR),1081,0.733,937,0.724,1176,0.641,1515,0.833,
Carambeí (PR),1081,0.732,1008,0.721,1193,0.640,1370,0.836,
Terra Boa (PR),1081,0.730,1346,0.708,581,0.680,2990,0.803,
Caibi (SC),1081,0.733,665,0.737,1370,0.631,1647,0.830,
Balneário Gaivota (SC),1081,0.733,739,0.734,1556,0.622,986,0.844,
Santiago do Sul (SC),1081,0.731,805,0.731,995,0.652,2611,0.811,
Sombrio (SC),1081,0.735,832,0.729,1649,0.617,473,0.858,
Pedras Grandes (SC),1081,0.735,1166,0.715,1577,0.621,204,0.870,
Boa Vista do Sul (RS),1081,0.728,190,0.77,2210,0.587,643,0.852,
Tuparendi (RS),1081,0.728,739,0.734,1350,0.632,1560,0.832,
Cândido Godói (RS),1081,0.728,1039,0.72,1457,0.627,610,0.853,
Ipê (RS),1081,0.728,398,0.751,1633,0.618,1603,0.831,
Bandeirantes (PR),1107,0.730,1190,0.714,898,0.658,2216,0.819,
São João (PR),1107,0.731,1741,0.695,870,0.660,1281,0.838,
Santa Helena (SC),1107,0.730,1424,0.705,982,0.653,1515,0.833,
Taquara (RS),1107,0.727,349,0.754,2352,0.579,83,0.88,
Mato Castelhano (RS),1107,0.727,375,0.752,1802,0.608,1238,0.839,
Coronel Pilar (RS),1107,0.727,223,0.766,1957,0.6,1419,0.835,
Sant'Ana do Livramento (RS),1107,0.727,1166,0.715,1271,0.636,901,0.846,
Ibiporã (PR),1133,0.729,1039,0.720,1068,0.647,2112,0.821,
Irati (PR),1133,0.730,1166,0.715,1193,0.640,1419,0.835,
Munhoz de Melo (PR),1133,0.731,1449,0.704,1308,0.634,527,0.856,
Pérola D'Oeste (PR),1133,0.728,1678,0.697,593,0.679,2696,0.809,
Camboriú (SC),1133,0.734,692,0.736,1957,0.600,276,0.866,
Ermo (SC),1133,0.729,1346,0.708,719,0.670,2754,0.808,
Jacutinga (RS),1133,0.726,1473,0.703,1271,0.636,551,0.855,
São Martinho (RS),1133,0.726,739,0.734,1433,0.628,1647,0.83,
Sapucaia do Sul (RS),1133,0.726,897,0.726,1517,0.624,986,0.844,
Sertaneja (PR),1154,0.728,937,0.724,1010,0.651,2696,0.809,
Loanda (PR),1154,0.728,937,0.724,1097,0.645,2407,0.815,
São Manoel do Paraná (PR),1154,0.729,1008,0.721,1193,0.640,1905,0.825,
Matelândia (PR),1154,0.729,1166,0.715,1157,0.642,1603,0.831,
São Tomé (PR),1154,0.728,1372,0.707,870,0.660,2357,0.816,
Cambira (PR),1154,0.729,1516,0.702,1010,0.651,1419,0.835,
Andirá (PR),1154,0.729,1890,0.690,870,0.660,1281,0.838,
Ibiam (SC),1154,0.729,665,0.737,1370,0.631,2161,0.820,
Agrolândia (SC),1154,0.729,870,0.727,1329,0.633,1798,0.827,
Garuva (SC),1154,0.729,1111,0.717,1193,0.640,1647,0.830,
Santa Bárbara do Sul (RS),1154,0.725,1136,0.716,1308,0.634,1128,0.841,
Miraguaí (RS),1154,0.725,532,0.744,1712,0.613,1315,0.837,
Ponte Preta (RS),1154,0.725,870,0.727,1957,0.6,135,0.874,
Pontão (RS),1154,0.725,1346,0.708,1535,0.623,319,0.864,
São José do Sul (RS),1154,0.725,166,0.774,2157,0.59,1370,0.836,
Santa Cecília do Sul (RS),1154,0.725,125,0.781,2322,0.581,1238,0.839,
Guaíra (PR),1191,0.730,621,0.739,1687,0.615,1370,0.836,
Douradina (PR),1191,0.728,1008,0.721,1112,0.644,2259,0.818,
Indianópolis (PR),1191,0.728,1372,0.707,1157,0.642,1419,0.835,
Botuverá (SC),1191,0.731,580,0.741,1880,0.604,792,0.848,
Ronda Alta (RS),1191,0.724,832,0.729,1957,0.6,257,0.867,
Marcelino Ramos (RS),1191,0.724,715,0.735,1633,0.618,1464,0.834,
Ivorá (RS),1191,0.724,1248,0.712,1921,0.602,22,0.886,
Doutor Ricardo (RS),1191,0.724,435,0.749,2084,0.593,551,0.855,
Ibiraiaras (RS),1191,0.724,621,0.739,1687,0.615,1419,0.835,
Peabiru (PR),1217,0.727,870,0.727,1416,0.629,1846,0.826,
Sertanópolis (PR),1217,0.726,1069,0.719,945,0.655,2940,0.804,
Arapoti (PR),1217,0.727,1166,0.715,1133,0.643,1987,0.823,
Coronel Vivida (PR),1217,0.726,1190,0.714,982,0.653,2661,0.810,
Diamante do Norte (PR),1217,0.727,1605,0.699,914,0.657,1951,0.824,
Formosa do Oeste (PR),1217,0.727,1817,0.692,995,0.652,1370,0.836,
Santa Cecília do Pavão (PR),1217,0.727,2119,0.681,849,0.661,1281,0.838,
Erval Velho (SC),1217,0.732,692,0.736,2111,0.592,238,0.868,
Águas Mornas (SC),1217,0.730,805,0.731,1835,0.606,610,0.853,
Cruzeiro do Sul (RS),1217,0.723,494,0.746,1822,0.607,1515,0.833,
Vespasiano Correa (RS),1217,0.723,303,0.758,2266,0.584,551,0.855,
Seberi (RS),1217,0.723,1405,0.706,1593,0.62,303,0.865,
Bom Progresso (RS),1217,0.723,1576,0.7,1133,0.643,1183,0.84,
Porto Xavier (RS),1217,0.723,1967,0.687,1433,0.628,118,0.876,
Barra do Rio Azul (RS),1217,0.723,1473,0.703,1232,0.638,1075,0.842,
Marmeleiro (PR),1244,0.728,817,0.730,1712,0.613,1075,0.842,
Nova Esperança (PR),1244,0.727,961,0.723,1433,0.628,1704,0.829,
Realeza (PR),1244,0.727,1039,0.720,1395,0.630,1647,0.830,
Califórnia (PR),1244,0.726,1091,0.718,1232,0.638,2112,0.821,
Virmond (PR),1244,0.728,1346,0.708,1433,0.628,792,0.848,
São Jorge D'Oeste (PR),1244,0.725,1424,0.705,930,0.656,2504,0.813,
Iraceminha (SC),1244,0.728,1293,0.710,1433,0.628,943,0.845,
Cambará (PR),1266,0.725,1268,0.711,1097,0.645,2259,0.818,
Ângulo (PR),1266,0.725,1424,0.705,1112,0.644,1798,0.827,
Marumbi (PR),1266,0.725,1424,0.705,1133,0.643,1846,0.826,
Uraí (PR),1266,0.725,1649,0.698,945,0.655,2112,0.821,
Altônia (PR),1266,0.726,1890,0.690,1176,0.641,792,0.848,
Kaloré (PR),1266,0.726,2343,0.673,914,0.657,792,0.848,
Jaguaruna (SC),1266,0.726,1069,0.719,1433,0.628,1647,0.830,
Curitibanos (SC),1266,0.727,1136,0.716,1593,0.620,901,0.846,
Giruá (RS),1266,0.721,1372,0.707,1416,0.629,1075,0.842,
Vacaria (RS),1266,0.721,596,0.74,1857,0.605,1281,0.838,
Igrejinha (RS),1266,0.721,435,0.749,2531,0.571,118,0.876,
Ourizona (PR),1301,0.723,1008,0.721,1112,0.644,2990,0.803,
Fazenda Rio Grande (PR),1301,0.726,1217,0.713,1649,0.617,846,0.847,
Verê (PR),1301,0.725,1318,0.709,1473,0.626,1183,0.840,
Santa Isabel do Ivaí (PR),1301,0.723,1678,0.697,930,0.656,2307,0.817,
Uniflor (PR),1301,0.724,1890,0.690,945,0.655,1846,0.826,
Boa Esperança (PR),1301,0.723,1967,0.687,686,0.673,2754,0.808,
Pouso Redondo (SC),1301,0.728,848,0.728,1995,0.598,501,0.857,
Timbé do Sul (SC),1301,0.728,1008,0.721,1835,0.606,527,0.856,
Passo de Torres (SC),1301,0.727,1741,0.695,1633,0.618,222,0.869,
Palmitinho (RS),1301,0.72,1372,0.707,1350,0.632,1370,0.836,
São Valentim (RS),1301,0.72,517,0.745,1727,0.612,2161,0.82,
André da Rocha (RS),1301,0.72,639,0.738,1857,0.605,1315,0.837,
Faxinal do Soturno (RS),1301,0.72,784,0.732,2014,0.597,581,0.854,
Pinhal (RS),1301,0.72,1547,0.701,1517,0.624,643,0.852,
São Mateus do Sul (PR),1331,0.724,1268,0.711,1535,0.623,1281,0.838,
Mamborê (PR),1331,0.723,1649,0.698,1032,0.649,2112,0.821,
